Date,Day,File,Cluster
1994-11-27,Sunday,bu,2
1994-12-04,Sunday,bu,2
1994-12-11,Sunday,bu,2
1994-12-18,Sunday,bu,2
1994-12-25,Sunday,bu,2
1995-01-01,Sunday,bu,1
1995-01-08,Sunday,bu,1
1995-01-15,Sunday,bu,0
1995-01-22,Sunday,bu,2
1995-01-29,Sunday,bu,1
1995-02-05,Sunday,bu,2
1995-02-12,Sunday,bu,1
1995-02-19,Sunday,bu,2
1995-02-26,Sunday,bu,2
1995-03-05,Sunday,bu,2
1995-03-12,Sunday,bu,1
1995-03-19,Sunday,bu,2
1995-03-26,Sunday,bu,2
1995-04-02,Sunday,bu,0
1995-04-09,Sunday,bu,1
1995-04-16,Sunday,bu,2
1995-04-23,Sunday,bu,1
1995-04-30,Sunday,bu,2
1995-05-07,Sunday,bu,2
1995-05-14,Sunday,bu,2
1995-05-21,Sunday,bu,0
1994-11-27,Sunday,calgary,2
1994-12-04,Sunday,calgary,2
1994-12-11,Sunday,calgary,0
1994-12-18,Sunday,calgary,0
1994-12-25,Sunday,calgary,0
1995-01-01,Sunday,calgary,2
1995-01-08,Sunday,calgary,2
1995-01-15,Sunday,calgary,2
1995-01-22,Sunday,calgary,2
1995-01-29,Sunday,calgary,2
1995-02-05,Sunday,calgary,2
1995-02-12,Sunday,calgary,2
1995-02-19,Sunday,calgary,2
1995-02-26,Sunday,calgary,2
1995-03-05,Sunday,calgary,2
1995-03-12,Sunday,calgary,2
1995-03-19,Sunday,calgary,2
1995-03-26,Sunday,calgary,2
1995-04-02,Sunday,calgary,2
1995-04-09,Sunday,calgary,2
1995-04-16,Sunday,calgary,0
1995-04-23,Sunday,calgary,1
1995-04-30,Sunday,calgary,2
1995-05-07,Sunday,calgary,1
1995-05-14,Sunday,calgary,2
1995-05-21,Sunday,calgary,1
1994-10-30,Sunday,calgary,1
1994-11-06,Sunday,calgary,2
1994-11-13,Sunday,calgary,0
1994-11-20,Sunday,calgary,2
1995-05-28,Sunday,calgary,2
1995-06-04,Sunday,calgary,2
1995-06-11,Sunday,calgary,2
1995-06-18,Sunday,calgary,2
1995-06-25,Sunday,calgary,0
1995-07-02,Sunday,calgary,0
1995-07-09,Sunday,calgary,2
1995-07-16,Sunday,calgary,2
1995-07-23,Sunday,calgary,0
1995-07-30,Sunday,calgary,2
1995-08-06,Sunday,calgary,2
1995-08-13,Sunday,calgary,2
1995-08-20,Sunday,calgary,0
1995-08-27,Sunday,calgary,2
1995-09-03,Sunday,calgary,2
1995-09-10,Sunday,calgary,1
1995-09-17,Sunday,calgary,2
1995-09-24,Sunday,calgary,2
1995-10-01,Sunday,calgary,2
1995-10-08,Sunday,calgary,0
1995-10-15,Sunday,calgary,0
1995-09-03,Sunday,clarknet,2
1995-09-10,Sunday,clarknet,1
2018-05-06,Sunday,madrid,1
2018-05-13,Sunday,madrid,2
2018-05-20,Sunday,madrid,0
2018-05-27,Sunday,madrid,0
2018-06-03,Sunday,madrid,0
1995-07-02,Sunday,nasa,1
1995-07-09,Sunday,nasa,2
1995-07-16,Sunday,nasa,2
1995-07-23,Sunday,nasa,2
1995-07-30,Sunday,nasa,2
1995-08-06,Sunday,nasa,1
1995-08-13,Sunday,nasa,2
1995-08-20,Sunday,nasa,2
1995-08-27,Sunday,nasa,2
1995-09-03,Sunday,nasa,2
2015-05-03,Sunday,retailrocket,1
2015-05-10,Sunday,retailrocket,2
2015-05-17,Sunday,retailrocket,1
2015-05-24,Sunday,retailrocket,0
2015-05-31,Sunday,retailrocket,0
2015-06-07,Sunday,retailrocket,2
2015-06-14,Sunday,retailrocket,2
2015-06-21,Sunday,retailrocket,2
2015-06-28,Sunday,retailrocket,0
2015-07-05,Sunday,retailrocket,0
2015-07-12,Sunday,retailrocket,2
2015-07-19,Sunday,retailrocket,0
2015-07-26,Sunday,retailrocket,1
2015-08-02,Sunday,retailrocket,0
2015-08-09,Sunday,retailrocket,2
2015-08-16,Sunday,retailrocket,2
2015-08-23,Sunday,retailrocket,2
2015-08-30,Sunday,retailrocket,2
2015-09-06,Sunday,retailrocket,2
2015-09-13,Sunday,retailrocket,2
2015-09-20,Sunday,retailrocket,0
1995-06-04,Sunday,saskatchewan,1
1995-06-11,Sunday,saskatchewan,2
1995-06-18,Sunday,saskatchewan,2
1995-06-25,Sunday,saskatchewan,2
1995-07-02,Sunday,saskatchewan,2
1995-07-09,Sunday,saskatchewan,2
1995-07-16,Sunday,saskatchewan,2
1995-07-23,Sunday,saskatchewan,2
1995-07-30,Sunday,saskatchewan,2
1995-08-06,Sunday,saskatchewan,2
1995-08-13,Sunday,saskatchewan,2
1995-08-20,Sunday,saskatchewan,2
1995-08-27,Sunday,saskatchewan,2
1995-09-03,Sunday,saskatchewan,2
1995-09-10,Sunday,saskatchewan,2
1995-09-17,Sunday,saskatchewan,2
1995-09-24,Sunday,saskatchewan,2
1995-10-01,Sunday,saskatchewan,2
1995-10-08,Sunday,saskatchewan,2
1995-10-15,Sunday,saskatchewan,2
1995-10-22,Sunday,saskatchewan,2
1995-10-29,Sunday,saskatchewan,2
1995-11-05,Sunday,saskatchewan,2
1995-11-12,Sunday,saskatchewan,2
1995-11-19,Sunday,saskatchewan,2
1995-11-26,Sunday,saskatchewan,2
1995-12-03,Sunday,saskatchewan,2
1995-12-10,Sunday,saskatchewan,2
1995-12-17,Sunday,saskatchewan,2
1995-12-24,Sunday,saskatchewan,2
1995-12-31,Sunday,saskatchewan,1
1998-05-03,Sunday,wc,1
1998-05-10,Sunday,wc,2
1998-05-17,Sunday,wc,2
1998-05-24,Sunday,wc,1
1998-05-31,Sunday,wc,1
1998-06-07,Sunday,wc,1
1998-06-14,Sunday,wc,1
1998-06-21,Sunday,wc,0
1998-06-28,Sunday,wc,2
1998-07-05,Sunday,wc,0
1998-07-12,Sunday,wc,2
1998-07-19,Sunday,wc,0
1998-07-26,Sunday,wc,0
2018-05-06,Sunday,wikipedia,2
2018-05-13,Sunday,wikipedia,0
2018-05-20,Sunday,wikipedia,0
2018-05-27,Sunday,wikipedia,0
2018-06-03,Sunday,wikipedia,0
2018-01-07,Sunday,wikipedia,1
2018-01-14,Sunday,wikipedia,0
2018-01-21,Sunday,wikipedia,0
2018-01-28,Sunday,wikipedia,0
2018-02-04,Sunday,wikipedia,0
2018-02-11,Sunday,wikipedia,0
2018-02-18,Sunday,wikipedia,0
2018-02-25,Sunday,wikipedia,0
2018-03-04,Sunday,wikipedia,0
2018-03-11,Sunday,wikipedia,0
2018-03-18,Sunday,wikipedia,0
2018-03-25,Sunday,wikipedia,0
2018-04-01,Sunday,wikipedia,0
2018-04-08,Sunday,wikipedia,0
2018-04-15,Sunday,wikipedia,0
2018-04-22,Sunday,wikipedia,0
2018-04-29,Sunday,wikipedia,0
2018-06-10,Sunday,wikipedia,0
2018-06-17,Sunday,wikipedia,0
2018-06-24,Sunday,wikipedia,0
2018-07-01,Sunday,wikipedia,0
2018-07-08,Sunday,wikipedia,2
2018-07-15,Sunday,wikipedia,2
2018-07-22,Sunday,wikipedia,0
2018-07-29,Sunday,wikipedia,0
2018-08-05,Sunday,wikipedia,0
2018-08-12,Sunday,wikipedia,0
2018-08-19,Sunday,wikipedia,0
2018-08-26,Sunday,wikipedia,0
2018-09-02,Sunday,wikipedia,0
2018-09-09,Sunday,wikipedia,0
2018-09-16,Sunday,wikipedia,0
2018-09-23,Sunday,wikipedia,0
2018-09-30,Sunday,wikipedia,0
2018-10-07,Sunday,wikipedia,0
2018-10-14,Sunday,wikipedia,0
2018-10-21,Sunday,wikipedia,0
2018-10-28,Sunday,wikipedia,0
2018-11-04,Sunday,wikipedia,0
2018-11-11,Sunday,wikipedia,0
2018-11-18,Sunday,wikipedia,2
2018-11-25,Sunday,wikipedia,0
2018-12-02,Sunday,wikipedia,0
2018-12-09,Sunday,wikipedia,0
2018-12-16,Sunday,wikipedia,0
2018-12-23,Sunday,wikipedia,0
2018-12-30,Sunday,wikipedia,1
2019-01-06,Sunday,wikipedia,1
2019-01-13,Sunday,wikipedia,0
2019-01-20,Sunday,wikipedia,0
2019-01-27,Sunday,wikipedia,0
2019-02-03,Sunday,wikipedia,0
2019-02-10,Sunday,wikipedia,0
2019-02-17,Sunday,wikipedia,0
2019-02-24,Sunday,wikipedia,0
2019-03-03,Sunday,wikipedia,0
2019-03-10,Sunday,wikipedia,0
2019-03-17,Sunday,wikipedia,0
2019-03-24,Sunday,wikipedia,0
2019-03-31,Sunday,wikipedia,0
2019-04-07,Sunday,wikipedia,0
2019-04-14,Sunday,wikipedia,0
2019-04-21,Sunday,wikipedia,0
2019-04-28,Sunday,wikipedia,0
2019-05-05,Sunday,wikipedia,2
2019-05-12,Sunday,wikipedia,0
2019-05-19,Sunday,wikipedia,0
2019-05-26,Sunday,wikipedia,0
2019-06-02,Sunday,wikipedia,0
2019-06-09,Sunday,wikipedia,0
2019-06-16,Sunday,wikipedia,0
2019-06-23,Sunday,wikipedia,0
2019-06-30,Sunday,wikipedia,0
2019-07-07,Sunday,wikipedia,1
2019-07-14,Sunday,wikipedia,0
2019-07-21,Sunday,wikipedia,0
2019-07-28,Sunday,wikipedia,0
2019-08-04,Sunday,wikipedia,0
2019-08-11,Sunday,wikipedia,0
2019-08-18,Sunday,wikipedia,0
2019-08-25,Sunday,wikipedia,0
2019-09-01,Sunday,wikipedia,0
2019-09-08,Sunday,wikipedia,0
2019-09-15,Sunday,wikipedia,0
2019-09-22,Sunday,wikipedia,0
2019-09-29,Sunday,wikipedia,0
2019-10-06,Sunday,wikipedia,0
2019-10-13,Sunday,wikipedia,0
2019-10-20,Sunday,wikipedia,0
2019-10-27,Sunday,wikipedia,0
2019-11-03,Sunday,wikipedia,0
2019-11-10,Sunday,wikipedia,0
2019-11-17,Sunday,wikipedia,2
2019-11-24,Sunday,wikipedia,0
2019-12-01,Sunday,wikipedia,0
2019-12-08,Sunday,wikipedia,0
2019-12-15,Sunday,wikipedia,0
2019-12-22,Sunday,wikipedia,0
2019-12-29,Sunday,wikipedia,1
2020-01-05,Sunday,wikipedia,1
2020-01-12,Sunday,wikipedia,0
2020-01-19,Sunday,wikipedia,0
2020-01-26,Sunday,wikipedia,0
2020-02-02,Sunday,wikipedia,0
2020-02-09,Sunday,wikipedia,0
2020-02-16,Sunday,wikipedia,0
2020-02-23,Sunday,wikipedia,0
2020-03-01,Sunday,wikipedia,0
2020-03-08,Sunday,wikipedia,0
2020-03-15,Sunday,wikipedia,0
2020-03-22,Sunday,wikipedia,1
2020-03-29,Sunday,wikipedia,1
2020-04-05,Sunday,wikipedia,1
2020-04-12,Sunday,wikipedia,1
2020-04-19,Sunday,wikipedia,0
2020-04-26,Sunday,wikipedia,0
2020-05-03,Sunday,wikipedia,0
2020-05-10,Sunday,wikipedia,0
2020-05-17,Sunday,wikipedia,0
2020-05-24,Sunday,wikipedia,0
2020-05-31,Sunday,wikipedia,0
2020-06-07,Sunday,wikipedia,0
2020-06-14,Sunday,wikipedia,0
2020-06-21,Sunday,wikipedia,0
2020-06-28,Sunday,wikipedia,0
2020-07-05,Sunday,wikipedia,0
2020-07-12,Sunday,wikipedia,0
2020-07-19,Sunday,wikipedia,1
2020-07-26,Sunday,wikipedia,0
2020-08-02,Sunday,wikipedia,0
2020-08-09,Sunday,wikipedia,0
2020-08-16,Sunday,wikipedia,0
2020-08-23,Sunday,wikipedia,0
2020-08-30,Sunday,wikipedia,0
2020-09-06,Sunday,wikipedia,0
2020-09-13,Sunday,wikipedia,0
2020-09-20,Sunday,wikipedia,0
2020-09-27,Sunday,wikipedia,0
2020-10-04,Sunday,wikipedia,0
2020-10-11,Sunday,wikipedia,2
2020-10-18,Sunday,wikipedia,0
2020-10-25,Sunday,wikipedia,0
2020-11-01,Sunday,wikipedia,0
2020-11-08,Sunday,wikipedia,1
2020-11-15,Sunday,wikipedia,0
2020-11-22,Sunday,wikipedia,0
2020-11-29,Sunday,wikipedia,0
2020-12-06,Sunday,wikipedia,0
2020-12-13,Sunday,wikipedia,0
2020-12-20,Sunday,wikipedia,0
2020-12-27,Sunday,wikipedia,1
2021-01-03,Sunday,wikipedia,1
2021-01-10,Sunday,wikipedia,1
2021-01-17,Sunday,wikipedia,0
2021-01-24,Sunday,wikipedia,1
2021-01-31,Sunday,wikipedia,0
2021-02-07,Sunday,wikipedia,0
2021-02-14,Sunday,wikipedia,0
2021-02-21,Sunday,wikipedia,0
2021-02-28,Sunday,wikipedia,0
2021-03-07,Sunday,wikipedia,0
2021-03-14,Sunday,wikipedia,0
2021-03-21,Sunday,wikipedia,0
2021-03-28,Sunday,wikipedia,0
2021-04-04,Sunday,wikipedia,0
2021-04-11,Sunday,wikipedia,0
2021-04-18,Sunday,wikipedia,0
2021-04-25,Sunday,wikipedia,0
2021-05-02,Sunday,wikipedia,0
2021-05-09,Sunday,wikipedia,0
2021-05-16,Sunday,wikipedia,0
2021-05-23,Sunday,wikipedia,0
2021-05-30,Sunday,wikipedia,0
2021-06-06,Sunday,wikipedia,0
2021-06-13,Sunday,wikipedia,0
2021-06-20,Sunday,wikipedia,0
2021-06-27,Sunday,wikipedia,0
2021-07-04,Sunday,wikipedia,1
2021-07-11,Sunday,wikipedia,0
2021-07-18,Sunday,wikipedia,0
2021-07-25,Sunday,wikipedia,1
2021-08-01,Sunday,wikipedia,0
2021-08-08,Sunday,wikipedia,1
2021-08-15,Sunday,wikipedia,0
2021-08-22,Sunday,wikipedia,0
2021-08-29,Sunday,wikipedia,0
2021-09-05,Sunday,wikipedia,0
2021-09-12,Sunday,wikipedia,0
2021-09-19,Sunday,wikipedia,0
2021-09-26,Sunday,wikipedia,0
2021-10-03,Sunday,wikipedia,0
2021-10-10,Sunday,wikipedia,0
2021-10-17,Sunday,wikipedia,0
2021-10-24,Sunday,wikipedia,0
2021-10-31,Sunday,wikipedia,0
2021-11-07,Sunday,wikipedia,0
2021-11-14,Sunday,wikipedia,0
2021-11-21,Sunday,wikipedia,0
2021-11-28,Sunday,wikipedia,0
2021-12-05,Sunday,wikipedia,0
2021-12-12,Sunday,wikipedia,0
2021-12-19,Sunday,wikipedia,0
2021-12-26,Sunday,wikipedia,0
2022-01-02,Sunday,wikipedia,1
2022-01-09,Sunday,wikipedia,1
2022-01-16,Sunday,wikipedia,0
2022-01-23,Sunday,wikipedia,0
2022-01-30,Sunday,wikipedia,1
2022-02-06,Sunday,wikipedia,0
2022-02-13,Sunday,wikipedia,0
2022-02-20,Sunday,wikipedia,0
2022-02-27,Sunday,wikipedia,1
2022-03-06,Sunday,wikipedia,0
2022-03-13,Sunday,wikipedia,0
2022-03-20,Sunday,wikipedia,0
2022-03-27,Sunday,wikipedia,0
2022-04-03,Sunday,wikipedia,0
2022-04-10,Sunday,wikipedia,0
2022-04-17,Sunday,wikipedia,0
2022-04-24,Sunday,wikipedia,0
2022-05-01,Sunday,wikipedia,0
2022-05-08,Sunday,wikipedia,2
2022-05-15,Sunday,wikipedia,0
2022-05-22,Sunday,wikipedia,0
2022-05-29,Sunday,wikipedia,0
2022-06-05,Sunday,wikipedia,0
2022-06-12,Sunday,wikipedia,0
2022-06-19,Sunday,wikipedia,0
2022-06-26,Sunday,wikipedia,0
2022-07-03,Sunday,wikipedia,0
2022-07-10,Sunday,wikipedia,1
2022-07-17,Sunday,wikipedia,0
2022-07-24,Sunday,wikipedia,0
2022-07-31,Sunday,wikipedia,0
2022-08-07,Sunday,wikipedia,1
2022-08-14,Sunday,wikipedia,0
2022-08-21,Sunday,wikipedia,0
2022-08-28,Sunday,wikipedia,0
2022-09-04,Sunday,wikipedia,0
2022-09-11,Sunday,wikipedia,1
2022-09-18,Sunday,wikipedia,0
2022-09-25,Sunday,wikipedia,0
2022-10-02,Sunday,wikipedia,0
2022-10-09,Sunday,wikipedia,0
2022-10-16,Sunday,wikipedia,0
2022-10-23,Sunday,wikipedia,0
2022-10-30,Sunday,wikipedia,0
2022-11-06,Sunday,wikipedia,0
2022-11-13,Sunday,wikipedia,0
2022-11-20,Sunday,wikipedia,0
2022-11-27,Sunday,wikipedia,0
2022-12-04,Sunday,wikipedia,0
2022-12-11,Sunday,wikipedia,1
2022-12-18,Sunday,wikipedia,0
2022-12-25,Sunday,wikipedia,0
2023-01-01,Sunday,wikipedia,1
2023-01-08,Sunday,wikipedia,0
2023-01-15,Sunday,wikipedia,1
2023-01-22,Sunday,wikipedia,0
2023-01-29,Sunday,wikipedia,0
2023-02-05,Sunday,wikipedia,0
2023-02-12,Sunday,wikipedia,0
2023-02-19,Sunday,wikipedia,0
2023-02-26,Sunday,wikipedia,0
2023-03-05,Sunday,wikipedia,0
2023-03-12,Sunday,wikipedia,1
2023-03-19,Sunday,wikipedia,0
2023-03-26,Sunday,wikipedia,0
2023-04-02,Sunday,wikipedia,0
2023-04-09,Sunday,wikipedia,0
2023-04-16,Sunday,wikipedia,0
2023-04-23,Sunday,wikipedia,1
2023-04-30,Sunday,wikipedia,0
2023-05-07,Sunday,wikipedia,0
2023-05-14,Sunday,wikipedia,0
2023-05-21,Sunday,wikipedia,0
2023-05-28,Sunday,wikipedia,0
2023-06-04,Sunday,wikipedia,0
2023-06-11,Sunday,wikipedia,0
2023-06-18,Sunday,wikipedia,0
2023-06-25,Sunday,wikipedia,1
2023-07-02,Sunday,wikipedia,0
2023-07-09,Sunday,wikipedia,0
2023-07-16,Sunday,wikipedia,0
2023-07-23,Sunday,wikipedia,1
2023-07-30,Sunday,wikipedia,0
2023-08-06,Sunday,wikipedia,0
2023-08-13,Sunday,wikipedia,0
2023-08-20,Sunday,wikipedia,2
2023-08-27,Sunday,wikipedia,2
2023-09-03,Sunday,wikipedia,0
2007-05-27,Sunday,youtube,1
2007-06-10,Sunday,youtube,2
2007-06-17,Sunday,youtube,1
2007-06-24,Sunday,youtube,2
2007-09-16,Sunday,youtube,1
2007-09-23,Sunday,youtube,2
2008-02-03,Sunday,youtube,1
2008-02-10,Sunday,youtube,2
2008-02-17,Sunday,youtube,0
2008-03-16,Sunday,youtube,1
2008-03-23,Sunday,youtube,0
